make_model,component_id,equipment_type,make,model,failure_count,mtbf_hours,mtbr_hours,mttr_hours,failure_rate_per_1000h,vessels_affected,root_cause_human_error,root_cause_operational_error,root_cause_machinery_failure,root_cause_other,root_cause_unknown,root_cause_percentage_confirmed,first_failure_date,last_failure_date,top_failure_mode,top_failure_mode_count,top_failure_mode_rate,failure_mode_distribution,trend,action_inspect_count,action_repair_count,action_replace_count,action_temporary_count,action_recurrence_rate,action_recurrence_by_type,highest_recurrence_action,highest_recurrence_rate,mtbf_before_action,mtbf_after_action,action_permanently_eliminates,stakeholder_communication_summary,estimated_cost_per_failure,total_cost_impact,stock_risk,parts_per_failure,top_parts,top_parts_consumption,parts_detail_json,fleet_avg_mtbf_hours,mtbf_vs_fleet,total_failures,total_vessels,overall_mtbf_hours,overall_failure_rate_per_1000h,component_count,first_failure_date_summary,last_failure_date_summary,equipment_type_summary,make_summary,model_summary,fleet_avg_mtbf_hours_summary,fleet_avg_failure_rate_per_1000h,bad_actor_rank,is_bad_actor
ANQING DAIHATSU 6DK-20,Engine (General),Aux Engine,ANQING DAIHATSU,6DK-20,11,316.8,,,3.472222222222222,1,0,0,0,60,2,81.81818181818183,2024-12-17,2025-04-28,ALARM,7,7000.0,"{'ALARM': {'count': 7, 'failure_rate': 7000.0, 'mtbf': 0.0, 'vessels': 1}, 'LEAK': {'count': 6, 'failure_rate': 6000.0, 'mtbf': 0.0, 'vessels': 1}, 'NOISY': {'count': 5, 'failure_rate': 5000.0, 'mtbf': 0.0, 'vessels': 1}, 'Other': {'count': 44, 'failure_rate': 13.888888888888888, 'mtbf': 73.67441860465117, 'vessels': 1}}",↑,0,0,0,0,90.32258064516128,{'Other': 90.32258064516128},Other,90.32258064516128,138.0,192.0,False,,555.4545454545455,6110.0,Low,81.9090909090909,"['Coupling', 'Control Wiring', 'Filtrex', 'Driveshaft', '1S-2S Switchboard']","[143, 140, 97, 74, 70]","[{""part_name"": ""Coupling"", ""count"": 143, ""unit_cost"": 4.2, ""total_cost"": 600.0}, {""part_name"": ""Control Wiring"", ""count"": 140, ""unit_cost"": 1.07, ""total_cost"": 150.0}, {""part_name"": ""Filtrex"", ""count"": 97, ""unit_cost"": 10.62, ""total_cost"": 1030.0}, {""part_name"": ""Driveshaft"", ""count"": 74, ""unit_cost"": 1.35, ""total_cost"": 100.0}, {""part_name"": ""1S-2S Switchboard"", ""count"": 70, ""unit_cost"": 1.43, ""total_cost"": 100.0}, {""part_name"": ""Comm Cable"", ""count"": 50, ""unit_cost"": 4.5, ""total_cost"": 225.0}, {""part_name"": ""A.2"", ""count"": 49, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""Control"", ""count"": 41, ""unit_cost"": 3.66, ""total_cost"": 150.0}, {""part_name"": ""Plug Connection"", ""count"": 35, ""unit_cost"": 30.71, ""total_cost"": 1075.0}, {""part_name"": ""SW Pump"", ""count"": 29, ""unit_cost"": 33.79, ""total_cost"": 980.0}, {""part_name"": ""Keep Warm Pump"", ""count"": 20, ""unit_cost"": 20.0, ""total_cost"": 400.0}, {""part_name"": ""C.2"", ""count"": 19, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""Voltage Regulator"", ""count"": 13, ""unit_cost"": 7.69, ""total_cost"": 100.0}, {""part_name"": ""Pressure Sensor"", ""count"": 13, ""unit_cost"": 11.54, ""total_cost"": 150.0}, {""part_name"": ""Pin Drive"", ""count"": 13, ""unit_cost"": 7.69, ""total_cost"": 100.0}, {""part_name"": ""Windings"", ""count"": 13, ""unit_cost"": 15.38, ""total_cost"": 200.0}, {""part_name"": ""E.2"", ""count"": 13, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""Right Angle Drive Gear"", ""count"": 12, ""unit_cost"": 8.33, ""total_cost"": 100.0}, {""part_name"": ""Gasket"", ""count"": 11, ""unit_cost"": 22.73, ""total_cost"": 250.0}, {""part_name"": ""Inlet Switch"", ""count"": 10, ""unit_cost"": 20.0, ""total_cost"": 200.0}, {""part_name"": ""Oil Pan Leak"", ""count"": 10, ""unit_cost"": 10.0, ""total_cost"": 100.0}, {""part_name"": ""G.1"", ""count"": 8, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""Vertical Drive Assy"", ""count"": 6, ""unit_cost"": 16.67, ""total_cost"": 100.0}, {""part_name"": ""H.1"", ""count"": 4, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""A.1"", ""count"": 2, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""D.2"", ""count"": 2, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""D.1"", ""count"": 2, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""G.2"", ""count"": 1, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""B.2"", ""count"": 1, ""unit_cost"": 0.0, ""total_cost"": 0.0}]",903.1015854056559,-64.92088984012805,12,1,316.8,3.472222222222222,2,2024-12-17,2025-04-28,Aux Engine,ANQING DAIHATSU,6DK-20,903.1015854056559,3.8932163757871767,1.0,True
ANQING DAIHATSU 6DK-20,Exhaust Valve,Aux Engine,ANQING DAIHATSU,6DK-20,1,,,,,1,0,0,0,2,0,100.0,2025-04-24,2025-04-24,Other,2,2000.0,"{'Other': {'count': 2, 'failure_rate': 2000.0, 'mtbf': 0.0, 'vessels': 1}}",,0,0,0,0,0.0,{'Other': 0.0},,0.0,,,False,,300.0,300.0,Low,76.0,['Exhaust'],[76],"[{""part_name"": ""Exhaust"", ""count"": 76, ""unit_cost"": 3.95, ""total_cost"": 300.0}]",903.1015854056559,,12,1,316.8,3.472222222222222,2,2024-12-17,2025-04-28,Aux Engine,ANQING DAIHATSU,6DK-20,903.1015854056559,3.8932163757871767,,
ANQING DAIHATSU 6DK-20E,Cooling water system,Aux Engine,ANQING DAIHATSU,6DK-20E,5,1998.0,,,0.6256256256256256,1,3,0,15,97,0,100.0,2025-01-02,2025-12-01,LOW TEMPERATURE,115,14.38938938938939,"{'LOW TEMPERATURE': {'count': 115, 'failure_rate': 14.38938938938939, 'mtbf': 70.10526315789474, 'vessels': 1}}",↑,0,0,0,0,97.3913043478261,{'Other': 97.3913043478261},Other,97.3913043478261,456.0,1344.0,True,"communication, stakeholder, communication",335.0,1675.0,Low,48.6,"['Cooler', 'JW Pump', 'JW Hose', 'JW Pump Seal', 'Transducer']","[142, 16, 15, 15, 15]","[{""part_name"": ""Cooler"", ""count"": 142, ""unit_cost"": 1.23, ""total_cost"": 175.0}, {""part_name"": ""JW Pump"", ""count"": 16, ""unit_cost"": 17.19, ""total_cost"": 275.0}, {""part_name"": ""JW Hose"", ""count"": 15, ""unit_cost"": 13.33, ""total_cost"": 200.0}, {""part_name"": ""JW Pump Seal"", ""count"": 15, ""unit_cost"": 13.33, ""total_cost"": 200.0}, {""part_name"": ""Transducer"", ""count"": 15, ""unit_cost"": 20.0, ""total_cost"": 300.0}, {""part_name"": ""JW Transducer"", ""count"": 13, ""unit_cost"": 7.69, ""total_cost"": 100.0}, {""part_name"": ""Seal"", ""count"": 10, ""unit_cost"": 20.0, ""total_cost"": 200.0}, {""part_name"": ""JW Seal"", ""count"": 9, ""unit_cost"": 13.89, ""total_cost"": 125.0}, {""part_name"": ""Intercooler"", ""count"": 8, ""unit_cost"": 12.5, ""total_cost"": 100.0}]",903.1015854056559,121.23756975828326,45,1,1105.1052631578948,2.7309675747175746,3,2025-01-02,2025-12-05,Aux Engine,ANQING DAIHATSU,6DK-20E,903.1015854056559,3.8932163757871767,2.0,True
ANQING DAIHATSU 6DK-20E,Engine (General),Aux Engine,ANQING DAIHATSU,6DK-20E,39,212.21052631578948,,,4.836309523809524,1,14,0,142,772,0,100.0,2025-01-03,2025-12-05,LOW PRESSURE,18,18000.0,"{'ALARM': {'count': 92, 'failure_rate': 17.665130568356375, 'mtbf': 57.23076923076923, 'vessels': 1}, 'LOW PRESSURE': {'count': 18, 'failure_rate': 18000.0, 'mtbf': 0.0, 'vessels': 1}, 'Other': {'count': 818, 'failure_rate': 102.35235235235236, 'mtbf': 9.782129742962056, 'vessels': 1}}",→,0,0,0,0,99.24568965517241,{'Other': 99.24568965517241},Other,99.24568965517241,148.0,266.5263157894737,False,"communication, stakeholder, communication",156.66666666666666,6110.0,Low,23.102564102564102,"['Coupling', 'Control Wiring', 'Filtrex', 'Driveshaft', '1S-2S Switchboard']","[143, 140, 97, 74, 70]","[{""part_name"": ""Coupling"", ""count"": 143, ""unit_cost"": 4.2, ""total_cost"": 600.0}, {""part_name"": ""Control Wiring"", ""count"": 140, ""unit_cost"": 1.07, ""total_cost"": 150.0}, {""part_name"": ""Filtrex"", ""count"": 97, ""unit_cost"": 10.62, ""total_cost"": 1030.0}, {""part_name"": ""Driveshaft"", ""count"": 74, ""unit_cost"": 1.35, ""total_cost"": 100.0}, {""part_name"": ""1S-2S Switchboard"", ""count"": 70, ""unit_cost"": 1.43, ""total_cost"": 100.0}, {""part_name"": ""Comm Cable"", ""count"": 50, ""unit_cost"": 4.5, ""total_cost"": 225.0}, {""part_name"": ""A.2"", ""count"": 49, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""Control"", ""count"": 41, ""unit_cost"": 3.66, ""total_cost"": 150.0}, {""part_name"": ""Plug Connection"", ""count"": 35, ""unit_cost"": 30.71, ""total_cost"": 1075.0}, {""part_name"": ""SW Pump"", ""count"": 29, ""unit_cost"": 33.79, ""total_cost"": 980.0}, {""part_name"": ""Keep Warm Pump"", ""count"": 20, ""unit_cost"": 20.0, ""total_cost"": 400.0}, {""part_name"": ""C.2"", ""count"": 19, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""Voltage Regulator"", ""count"": 13, ""unit_cost"": 7.69, ""total_cost"": 100.0}, {""part_name"": ""Pressure Sensor"", ""count"": 13, ""unit_cost"": 11.54, ""total_cost"": 150.0}, {""part_name"": ""Pin Drive"", ""count"": 13, ""unit_cost"": 7.69, ""total_cost"": 100.0}, {""part_name"": ""Windings"", ""count"": 13, ""unit_cost"": 15.38, ""total_cost"": 200.0}, {""part_name"": ""E.2"", ""count"": 13, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""Right Angle Drive Gear"", ""count"": 12, ""unit_cost"": 8.33, ""total_cost"": 100.0}, {""part_name"": ""Gasket"", ""count"": 11, ""unit_cost"": 22.73, ""total_cost"": 250.0}, {""part_name"": ""Inlet Switch"", ""count"": 10, ""unit_cost"": 20.0, ""total_cost"": 200.0}, {""part_name"": ""Oil Pan Leak"", ""count"": 10, ""unit_cost"": 10.0, ""total_cost"": 100.0}, {""part_name"": ""G.1"", ""count"": 8, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""Vertical Drive Assy"", ""count"": 6, ""unit_cost"": 16.67, ""total_cost"": 100.0}, {""part_name"": ""H.1"", ""count"": 4, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""A.1"", ""count"": 2, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""D.2"", ""count"": 2, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""D.1"", ""count"": 2, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""G.2"", ""count"": 1, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""B.2"", ""count"": 1, ""unit_cost"": 0.0, ""total_cost"": 0.0}]",903.1015854056559,-76.50203147185611,45,1,1105.1052631578948,2.7309675747175746,3,2025-01-02,2025-12-05,Aux Engine,ANQING DAIHATSU,6DK-20E,903.1015854056559,3.8932163757871767,1.0,True
ANQING DAIHATSU 6DK-20E,Turbocharger,Aux Engine,ANQING DAIHATSU,6DK-20E,1,,,,,1,0,0,5,30,0,100.0,2025-03-13,2025-03-13,HIGH TEMPERATURE,35,35000.0,"{'HIGH TEMPERATURE': {'count': 35, 'failure_rate': 35000.0, 'mtbf': 0.0, 'vessels': 1}}",,0,0,0,0,0.0,{'Other': 0.0},,0.0,,,False,"communication, stakeholder, communication",850.0,850.0,Low,32.0,"['Turbo Exhaust', 'Turbocharger']","[20, 12]","[{""part_name"": ""Turbo Exhaust"", ""count"": 20, ""unit_cost"": 10.0, ""total_cost"": 200.0}, {""part_name"": ""Turbocharger"", ""count"": 12, ""unit_cost"": 54.17, ""total_cost"": 650.0}]",903.1015854056559,,45,1,1105.1052631578948,2.7309675747175746,3,2025-01-02,2025-12-05,Aux Engine,ANQING DAIHATSU,6DK-20E,903.1015854056559,3.8932163757871767,,
CMP - MAN 6L23/30H,Boiler,Aux Engine,CMP - MAN,6L23/30H,1,,,,,1,0,0,0,8,0,100.0,2025-05-02,2025-05-02,Other,8,8000.0,"{'Other': {'count': 8, 'failure_rate': 8000.0, 'mtbf': 0.0, 'vessels': 1}}",,0,0,0,0,0.0,{'Other': 0.0},,0.0,,,False,communication,,,,,,,,903.1015854056559,,10,1,1762.2857142857142,0.648508430609598,3,2024-04-12,2025-09-08,Aux Engine,CMP - MAN,6L23/30H,903.1015854056559,3.8932163757871767,,
CMP - MAN 6L23/30H,EME (Externally Mounted Equipment),Aux Engine,CMP - MAN,6L23/30H,1,,,,,1,0,0,0,7,0,100.0,2025-03-21,2025-03-21,ALARM,7,7000.0,"{'ALARM': {'count': 7, 'failure_rate': 7000.0, 'mtbf': 0.0, 'vessels': 1}}",,0,0,0,0,0.0,{'Other': 0.0},,0.0,,,False,,,,,,,,,903.1015854056559,,10,1,1762.2857142857142,0.648508430609598,3,2024-04-12,2025-09-08,Aux Engine,CMP - MAN,6L23/30H,903.1015854056559,3.8932163757871767,,
CMP - MAN 6L23/30H,Engine (General),Aux Engine,CMP - MAN,6L23/30H,8,1762.2857142857142,,,0.648508430609598,1,0,0,0,34,2,75.0,2024-04-12,2025-09-08,ALARM,2,2000.0,"{'ALARM': {'count': 2, 'failure_rate': 2000.0, 'mtbf': 0.0, 'vessels': 1}, 'Other': {'count': 34, 'failure_rate': 3.0663780663780664, 'mtbf': 336.0, 'vessels': 1}}",→,0,0,0,0,88.23529411764706,{'Other': 88.23529411764706},Other,88.23529411764706,2208.0,1680.0,False,communication,763.75,6110.0,Low,112.625,"['Coupling', 'Control Wiring', 'Filtrex', 'Driveshaft', '1S-2S Switchboard']","[143, 140, 97, 74, 70]","[{""part_name"": ""Coupling"", ""count"": 143, ""unit_cost"": 4.2, ""total_cost"": 600.0}, {""part_name"": ""Control Wiring"", ""count"": 140, ""unit_cost"": 1.07, ""total_cost"": 150.0}, {""part_name"": ""Filtrex"", ""count"": 97, ""unit_cost"": 10.62, ""total_cost"": 1030.0}, {""part_name"": ""Driveshaft"", ""count"": 74, ""unit_cost"": 1.35, ""total_cost"": 100.0}, {""part_name"": ""1S-2S Switchboard"", ""count"": 70, ""unit_cost"": 1.43, ""total_cost"": 100.0}, {""part_name"": ""Comm Cable"", ""count"": 50, ""unit_cost"": 4.5, ""total_cost"": 225.0}, {""part_name"": ""A.2"", ""count"": 49, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""Control"", ""count"": 41, ""unit_cost"": 3.66, ""total_cost"": 150.0}, {""part_name"": ""Plug Connection"", ""count"": 35, ""unit_cost"": 30.71, ""total_cost"": 1075.0}, {""part_name"": ""SW Pump"", ""count"": 29, ""unit_cost"": 33.79, ""total_cost"": 980.0}, {""part_name"": ""Keep Warm Pump"", ""count"": 20, ""unit_cost"": 20.0, ""total_cost"": 400.0}, {""part_name"": ""C.2"", ""count"": 19, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""Voltage Regulator"", ""count"": 13, ""unit_cost"": 7.69, ""total_cost"": 100.0}, {""part_name"": ""Pressure Sensor"", ""count"": 13, ""unit_cost"": 11.54, ""total_cost"": 150.0}, {""part_name"": ""Pin Drive"", ""count"": 13, ""unit_cost"": 7.69, ""total_cost"": 100.0}, {""part_name"": ""Windings"", ""count"": 13, ""unit_cost"": 15.38, ""total_cost"": 200.0}, {""part_name"": ""E.2"", ""count"": 13, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""Right Angle Drive Gear"", ""count"": 12, ""unit_cost"": 8.33, ""total_cost"": 100.0}, {""part_name"": ""Gasket"", ""count"": 11, ""unit_cost"": 22.73, ""total_cost"": 250.0}, {""part_name"": ""Inlet Switch"", ""count"": 10, ""unit_cost"": 20.0, ""total_cost"": 200.0}, {""part_name"": ""Oil Pan Leak"", ""count"": 10, ""unit_cost"": 10.0, ""total_cost"": 100.0}, {""part_name"": ""G.1"", ""count"": 8, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""Vertical Drive Assy"", ""count"": 6, ""unit_cost"": 16.67, ""total_cost"": 100.0}, {""part_name"": ""H.1"", ""count"": 4, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""A.1"", ""count"": 2, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""D.2"", ""count"": 2, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""D.1"", ""count"": 2, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""G.2"", ""count"": 1, ""unit_cost"": 0.0, ""total_cost"": 0.0}, {""part_name"": ""B.2"", ""count"": 1, ""unit_cost"": 0.0, ""total_cost"": 0.0}]",903.1015854056559,95.13704136552138,10,1,1762.2857142857142,0.648508430609598,3,2024-04-12,2025-09-08,Aux Engine,CMP - MAN,6L23/30H,903.1015854056559,3.8932163757871767,1.0,True
CSSC MARINE POWER CO. LTD. 6L23/30H,Cooling water system,Aux Engine,CSSC MARINE POWER CO. LTD.,6L23/30H,4,1512.0,,,0.8818342151675485,2,0,0,13,80,0,100.0,2025-02-03,2025-08-11,LOW TEMPERATURE,39,39000.0,"{'LOW TEMPERATURE': {'count': 39, 'failure_rate': 39000.0, 'mtbf': 0.0, 'vessels': 1}, 'Low Temperature': {'count': 10, 'failure_rate': 10000.0, 'mtbf': 0.0, 'vessels': 1}, 'Other': {'count': 44, 'failure_rate': 14.550264550264549, 'mtbf': 70.32558139534883, 'vessels': 2}}",→,0,0,0,0,82.79569892473118,{'Other': 82.79569892473118},Other,82.79569892473118,,,False,"communication, stakeholder",418.75,1675.0,Low,60.75,"['Cooler', 'JW Pump', 'JW Hose', 'JW Pump Seal', 'Transducer']","[142, 16, 15, 15, 15]","[{""part_name"": ""Cooler"", ""count"": 142, ""unit_cost"": 1.23, ""total_cost"": 175.0}, {""part_name"": ""JW Pump"", ""count"": 16, ""unit_cost"": 17.19, ""total_cost"": 275.0}, {""part_name"": ""JW Hose"", ""count"": 15, ""unit_cost"": 13.33, ""total_cost"": 200.0}, {""part_name"": ""JW Pump Seal"", ""count"": 15, ""unit_cost"": 13.33, ""total_cost"": 200.0}, {""part_name"": ""Transducer"", ""count"": 15, ""unit_cost"": 20.0, ""total_cost"": 300.0}, {""part_name"": ""JW Transducer"", ""count"": 13, ""unit_cost"": 7.69, ""total_cost"": 100.0}, {""part_name"": ""Seal"", ""count"": 10, ""unit_cost"": 20.0, ""total_cost"": 200.0}, {""part_name"": ""JW Seal"", ""count"": 9, ""unit_cost"": 13.89, ""total_cost"": 125.0}, {""part_name"": ""Intercooler"", ""count"": 8, ""unit_cost"": 12.5, ""total_cost"": 100.0}]",903.1015854056559,67.42302576302517,100,3,743.323880597015,3.476347971082344,9,2024-12-04,2025-12-19,Aux Engine,CSSC MARINE POWER CO. LTD.,6L23/30H,903.1015854056559,3.8932163757871767,4.0,True
CSSC MARINE POWER CO. LTD. 6L23/30H,EME (Externally Mounted Equipment),Aux Engine,CSSC MARINE POWER CO. LTD.,6L23/30H,5,1218.0,,,1.026272577996716,2,0,0,9,119,0,100.0,2025-04-21,2025-11-10,ALARM,128,26.272577996715928,"{'ALARM': {'count': 128, 'failure_rate': 26.272577996715928, 'mtbf': 38.36220472440945, 'vessels': 2}}",↑,0,0,0,0,80.64516129032258,{'Other': 80.64516129032258},Other,80.64516129032258,1056.0,1188.0,False,communication,,,,,,,,903.1015854056559,34.86854853132583,100,3,743.323880597015,3.476347971082344,9,2024-12-04,2025-12-19,Aux Engine,CSSC MARINE POWER CO. LTD.,6L23/30H,903.1015854056559,3.8932163757871767,3.0,True
